"Year","Player","Pos","Age","Tm","G","MP","PTS","AST","TRB","STL","BLK","FG.","X3P","X3PA","X3P.","FT.","PER","WS","BPM","VORP","TS."
1990,"Tony Brown","SF",29,"MIL",61,635,219,41,72,32,4,0.427,5,20,0.25,0.679,8.2,0,-4.7,-0.4,0.475
1990,"Stanley Brundy","SF",22,"NJN",16,128,37,3,26,6,5,0.5,0,0,NA,0.389,10.1,0.2,-2.5,0,0.488
1990,"Mark Bryant","PF",24,"POR",58,562,168,13,146,18,9,0.458,0,0,NA,0.56,9.1,1,-3.1,-0.2,0.48
1990,"Torgeir Bryn","C",25,"LAC",3,10,4,0,2,2,1,0,0,0,NA,0.667,9.1,0,-4.5,0,0.431
1990,"Steve Bucknall","SG",23,"LAL",18,75,23,10,7,2,1,0.273,0,1,0,0.833,0,-0.3,-12.3,-0.2,0.323
1990,"Greg Butler","C",23,"NYK",13,33,6,1,9,0,0,0.25,0,0,NA,0,-4.9,-0.1,-16.1,-0.1,0.233
1990,"Michael Cage","C",28,"SEA",82,2595,798,70,821,79,45,0.504,0,0,NA,0.698,14.5,6.8,1,2,0.54
1990,"Adrian Caldwell","PF",23,"HOU",51,331,97,7,109,11,18,0.553,0,0,NA,0.464,9.5,0.4,-4.3,-0.2,0.549
1990,"Tony Campbell","SG",27,"MIN",82,3164,1903,213,451,111,31,0.457,9,54,0.167,0.787,17.1,5.3,-0.1,1.5,0.52
1990,"Rick Carlisle","SG",30,"NJN",5,21,2,5,0,1,1,0.143,0,3,0,NA,-9.2,-0.2,-21.9,-0.1,0.143
1990,"Antoine Carr","PF",28,"TOT",77,1727,949,119,322,30,68,0.494,0,7,0,0.795,16.4,3.5,-1,0.5,0.557
1990,"Antoine Carr","PF",28,"ATL",44,803,335,53,149,15,34,0.516,0,4,0,0.775,13.7,1.5,-0.7,0.3,0.572
1990,"Antoine Carr","PF",28,"SAC",33,924,614,66,173,15,34,0.482,0,3,0,0.806,18.8,1.9,-1.2,0.2,0.549
1990,"Joe Barry","C",31,"TOT",76,1721,761,97,443,47,115,0.411,0,2,0,0.774,12.6,0.7,-3.4,-0.6,0.455
1990,"Joe Barry","C",31,"NJN",46,1002,403,43,250,19,56,0.393,0,2,0,0.794,11.8,0.6,-4.2,-0.6,0.446
1990,"Joe Barry","C",31,"DEN",30,719,358,54,193,28,59,0.432,0,0,NA,0.743,13.8,0.1,-2.3,0,0.465
1990,"Bill Cartwright","C",32,"CHI",71,2160,811,145,465,38,34,0.488,0,0,NA,0.811,12.8,4.5,-1.7,0.2,0.562
1990,"Terry Catledge","PF",26,"ORL",74,2462,1435,72,563,36,17,0.474,2,8,0.25,0.702,15,2.5,-3.4,-0.9,0.525
1990,"Tom Chambers","PF",30,"PHO",81,3046,2201,190,571,88,47,0.501,24,86,0.279,0.861,20.9,11.2,1.8,2.9,0.579
1990,"Rex Chapman","SG",22,"CHH",54,1762,945,132,179,46,6,0.408,47,142,0.331,0.75,11.9,-0.7,-3.5,-0.7,0.469
1990,"Maurice Cheeks","PG",33,"TOT",81,2519,789,453,240,124,10,0.504,4,16,0.25,0.847,14.9,7.1,0.7,1.7,0.565
1990,"Maurice Cheeks","PG",33,"SAS",50,1766,545,302,167,82,5,0.478,1,9,0.111,0.832,13.9,4.4,0.6,1.2,0.534
1990,"Maurice Cheeks","PG",33,"NYK",31,753,244,151,73,42,5,0.579,3,7,0.429,0.877,17.1,2.7,0.8,0.5,0.65
1990,"Derrick Chievous","SF",22,"TOT",55,591,293,31,90,26,5,0.477,3,9,0.333,0.721,13.3,1.2,-3.2,-0.2,0.545
1990,"Derrick Chievous","SF",22,"HOU",41,492,244,27,75,23,4,0.506,3,8,0.375,0.701,13.5,1.1,-2.4,0,0.564
1990,"Derrick Chievous","SF",22,"CLE",14,99,49,4,15,3,1,0.357,0,1,0,0.792,11.9,0.1,-7.2,-0.1,0.466
1990,"Ben Coleman","PF",28,"MIL",22,305,126,12,87,7,7,0.474,0,1,0,0.829,12.2,0.5,-4.5,-0.2,0.548
1990,"Steve Colter","PG",27,"WSB",73,977,361,148,176,47,10,0.478,0,5,0,0.811,15.9,2.7,0.4,0.6,0.533
1990,"Lester Conner","PG",30,"NJN",82,2355,648,385,265,172,8,0.414,2,13,0.154,0.804,12.8,3.7,0.3,1.4,0.486
1990,"Michael Cooper","SG",33,"LAL",80,1851,515,215,227,67,36,0.387,50,157,0.318,0.883,9.6,2.7,-0.3,0.8,0.482
1990,"Wayne Cooper","C",33,"POR",79,1176,301,44,339,18,95,0.454,0,3,0,0.641,10.6,2.7,0,0.6,0.469
1990,"Lanard Copeland","SG",24,"PHI",23,110,74,9,10,1,1,0.456,1,5,0.2,0.786,10,-0.2,-11,-0.3,0.499
1990,"Tyrone Corbin","SF",27,"MIN",82,3011,1203,216,604,175,41,0.481,0,11,0,0.77,15.9,6.8,2.6,3.5,0.512
1990,"Dave Corzine","C",33,"ORL",6,79,22,2,18,2,0,0.379,0,0,NA,0,3.2,-0.2,-10.7,-0.2,0.368
1990,"Pat Cummings","C",33,"MIA",37,391,175,13,93,12,4,0.484,0,0,NA,0.568,10.5,0.1,-6.6,-0.5,0.499
1990,"Terry Cummings","PF",28,"SAS",81,2821,1818,219,677,110,52,0.475,19,59,0.322,0.78,19.6,8.7,1.8,2.7,0.527
